2023-10-24 15:46:17.350, root, INFO, DynamicAcquisition, acqpatterns.py:304, DynamicAcquisition acquiring PTC1-AvaSpec-MINI2048CL 7324760SP at 2000 us
2023-10-24 15:46:17.396, root, INFO, DynamicAcquisition, acqpatterns.py:304, DynamicAcquisition acquiring C14486GA 822OI006 at 4000 us
2023-10-24 15:46:17.407, root, INFO, DynamicAcquisition, acqpatterns.py:304, DynamicAcquisition acquiring PTC1-AvaSpec-MINI2048CL 7324760SP at 4000 us
2023-10-24 15:46:17.455, root, INFO, DynamicAcquisition, acqpatterns.py:304, DynamicAcquisition acquiring C14486GA 822OI006 at 7000 us
2023-10-24 15:46:17.460, root, INFO, DynamicAcquisition, acqpatterns.py:304, DynamicAcquisition acquiring PTC1-AvaSpec-MINI2048CL 7324760SP at 7000 us
2023-10-24 15:46:17.507, root, INFO, DynamicAcquisition, acqpatterns.py:304, DynamicAcquisition acquiring C14486GA 822OI006 at 15000 us
2023-10-24 15:46:17.518, root, INFO, DynamicAcquisition, acqpatterns.py:304, DynamicAcquisition acquiring PTC1-AvaSpec-MINI2048CL 7324760SP at 15000 us
2023-10-24 15:46:17.581, root, INFO, DynamicAcquisition, acqpatterns.py:304, DynamicAcquisition acquiring C14486GA 822OI006 at 30000 us
2023-10-24 15:46:17.589, root, INFO, DynamicAcquisition, acqpatterns.py:304, DynamicAcquisition acquiring PTC1-AvaSpec-MINI2048CL 7324760SP at 30000 us
2023-10-24 15:46:17.699, root, INFO, DynamicAcquisition, acqpatterns.py:304, DynamicAcquisition acquiring C14486GA 822OI006 at 60000 us
2023-10-24 15:46:17.704, root, INFO, DynamicAcquisition, acqpatterns.py:304, DynamicAcquisition acquiring PTC1-AvaSpec-MINI2048CL 7324760SP at 60000 us
2023-10-24 15:46:17.794, root, INFO, DynamicAcquisition, acqpatterns.py:304, DynamicAcquisition acquiring C14486GA 822OI006 at 120000 us
2023-10-24 15:46:17.842, root, INFO, DynamicAcquisition, acqpatterns.py:304, DynamicAcquisition acquiring PTC1-AvaSpec-MINI2048CL 7324760SP at 120000 us
